name,category,price_incl_vat_zar,in_stock,qty_on_hand,sku
500ML EXT HARD SURFACE CLEANER,Body Care,52.34,yes,1,600000000632
500ML FYNBOS LOTION 300MG,Body Care,275.00,yes,2,0781159645921
500ML GERANIUM HYDROSOL,Body Care,99.82,yes,3,6009704870791
500ML GLASS AND MIRROR CLEANER,Body Care,67.62,yes,2,6000000019693
500ML GLYCERINE VEG,Body Care,111.57,yes,6,600968972072
500ML GRAPESEED,Body Care,115.11,yes,2,6009704872139
500ML HEMPSEED,Body Care,274.51,yes,3,6000000011291
500ML KITCHEN &  BATHROOM,Body Care,52.34,yes,1,600000003236
500ML MCT OIL,Body Care,249.85,yes,3,6000000828745
500ML NATURAL GEL BASE,Body Care,86.78,yes,2,6009704872474
500ML ORANGE SWEET,Body Care,529.53,yes,1,6000000699994
500ML PET & CAGE CLEANER,Body Care,72.45,yes,2,6000000016951
500ML RICE BRAN,Body Care,236.33,yes,2,600000003528
500ML ROSE WATER,Body Care,336.97,yes,2,6000000030599
500ML SEPTIX DOCTOR,Body Care,44.80,yes,1,6000000016838
500ML SESAME,Body Care,233.78,yes,1,6009704872382
500ML SHAMP BASE,Body Care,92.10,yes,3,6000000677329
500ML WHEATGERM,Body Care,304.62,yes,2,6009704872467
500ML WITCH HAZEL,Body Care,311.70,yes,1,6009704870777
500MLVAN/MINT LOTION 300MG,Body Care,275.00,yes,3,0781159645914
50ML ANTI STRESS,Body Care,54.01,yes,1,6000000030506
50ML ARGAN OIL,Body Care,190.73,yes,4,6009704871897
50ML BLACKSEED,Body Care,112.30,yes,3,6009704871958
50ML CALENDULA,Body Care,69.52,yes,2,6009704871996
50ML CALMING SPRAY,Body Care,54.01,yes,1,6000000030469
50ML CITRONELLA,Body Care,115.87,yes,1,6000000813512
50ML EUCAL LEMON,Body Care,142.61,yes,2,600000002940
50ML GROUNDING,Body Care,44.60,yes,1,6000000771106
50ML JASMINE,Body Care,397.50,yes,1,6000000633981
50ML JOJOBA,Body Care,126.56,yes,10,6009704872177
50ML LAV SPRAY,Body Care,44.60,yes,1,6000000030513
50ML ORG NEEM,Body Care,83.77,yes,2,6009704872238
50ML PAIN BALM,Body Care,293.25,yes,4,737186350093
50ML PEPPERMINT OIL,Body Care,226.38,yes,3,6000000155483
50ML POMEGRAN SEED,Body Care,244.20,yes,1,6000000086374
50ML RASPBERRY SEED,Body Care,351.90,yes,1,6000000009540
50ML RECHARGE,Body Care,54.40,yes,1,6000000012793
50ML REFRESHING,Body Care,49.12,yes,1,6000000030568
50ML RELAXING,Body Care,40.41,yes,2,6000000030582
50ML UPLIFTING,Body Care,54.02,yes,1,6000000030551
50ML VIT E,Body Care,443.85,yes,3,600000015530
50ML WINTERGREEN,Body Care,288.77,yes,2,6009677685699
5C ASH CHESTNUT,Body Care,233.16,yes,1,8016744800020
5D LIGHT GOLDEN CHESTNUT HERBATIN,Body Care,233.16,yes,1,801674450012
5KG NAMIBIAN SALT,Body Care,103.81,yes,3,6000000008186
5M LIGHT MAHOGANY CHESTNUT HERBAT,Body Care,233.16,yes,4,801674450017
5ML POT POURI,Body Care,41.95,yes,2,6000000644093
5N LIGHT CHESTNUT HERBATINT,Body Care,233.16,yes,4,801674450005
5R LIGHT COPPER CHESTNUT HERBATIN,Body Care,233.16,yes,2,801674450020
600G CALMING,Body Care,127.35,yes,1,6000000120030
600G GROUNDING,Body Care,127.35,yes,1,6000000855123
600G LAVENDER,Body Care,127.37,yes,1,600000003333
600G LIGHTS OUT,Body Care,127.35,yes,1,6000000120110
600G LOVE ROCKS,Body Care,115.76,yes,1,6000000120170
600G RECHARGE,Body Care,115.76,yes,1,6000000120210
600G REFRESHING,Body Care,127.35,yes,1,6000000120190
60G DIABETIC BALM,Body Care,118.85,yes,1,600000000473
60G PAIN BALM,Body Care,108.03,yes,3,6000000129477
60G PSORIASIS BALM,Body Care,108.03,yes,1,6000000700188
60G PSORIASIS GEL,Body Care,79.52,yes,1,6000000120330
60G SWELL BALM,Body Care,118.83,yes,2,6000000552268
60G SWELL GEL,Body Care,79.52,yes,2,6000000120280
6C DARK ASH BLONDE,Body Care,233.16,yes,2,8016744800037
6D DARK GOLDEN BLONDE,Body Care,233.16,yes,2,801674450013
6N DARK BLONDE HERBATINT,Body Care,233.16,yes,3,801674450006
7C ASH BLONDE,Body Care,233.16,yes,2,8016744808545
7D GOLDEN BLONDE HERBATINT,Body Care,233.16,yes,1,801674450014
7M MAHOGANY BLONDE HERBATINT,Body Care,233.16,yes,1,801674450018
